Unnamed: 0,ShopName,ShopAddress,Postcode
0,BERJAYA TIMES SQUARE EXPERIENCE CENTRE,"G17, GROUND FLOOR, EAST WING, BERJAYA TIMES SQUARE, NO. 1, JALAN IMBI, 55100 KUALA LUMPUR.",55100.0
1,BERJAYA TIMES SQUARE EXPERIENCE CENTRE,"NO. 1-10, LEVEL 1, BERJAYA TIMES SQUARE, NO. 1, JALAN IMBI, 55100 KUALA LUMPUR.",55100.0
2,"U MOBILE SERVICE CENTRE, AEON AU2 SHOPPING CENTRE","G11, AEON AU2 SHOPPING CENTRE, NO 6, JALAN TAMAN SETIA WANGSA, AU2, BANDAR BARU AMPANG, MUKIM ULU KELANG, 54200 KUALA LUMPUR",54200.0
3,"U MOBILE SERVICE CENTRE, BUKIT TINGGI, KLANG","B-G-10, GROUND FLOOR, BBT ONE, LEBUH BATU NILAM 2, BANDAR BUKIT TINGGI,41200 KLANG, SELANGOR.",41200.0
4,"U MOBILE SERVICE CENTRE, SUNWAY PYRAMID","LOT F1.26, 1ST FLOOR, SUNWAY PYRAMID, NO. 3, JALAN PJS 11/15, BANDAR SUNWAY, 46150 PETALING JAYA, SELANGOR.",46150.0
5,"U MOBILE SERVICE CENTRE, 1 UTAMA SHOPPING CENTRE","LG313C, 1UTAMA SHOPPING CENTRE (NEW WING), 1, PERSIARAN BANDAR UTAMA, BANDAR UTAMA, 47100 PETALING JAYA, SELANGOR.",47100.0
6,"U MOBILE SERVICE CENTRE, QUEENSBAY MALL","2F- 33A & 35 (2ND FLOOR), QUEENSBAY MALL, 100, PERSIARAN BAYAN INDAH, BAYAN LEPAS, 11900, PULAU PINANG.",11900.0
7,"U MOBILE SERVICE CENTRE, SEBERANG JAYA","NO. 50, GROUND FLOOR, JALAN TODAK 2, 13700 SEBERANG JAYA, PULAU PINANG.",13700.0
8,"U MOBILE SERVICE CENTRE, MELAKA","NO. 3, GROUND FLOOR, JALAN MERDEKA, TAMAN MELAKA RAYA, 75250 MELAKA.",75250.0
9,"U MOBILE SERVICE CENTRE, SEREMBAN","GROUND FLOOR, NO. 135-1, JALAN TUN DR. ISMAIL, 70200 SEREMBAN, NEGERI SEMBILAN",70200.0
10,"U MOBILE SERVICE CENTRE, TAMAN MOLEK, JOHOR BAHRU","GROUND FLOOR, NO. 73, JALAN MOLEK 1/29, TAMAN MOLEK, 81100 JOHOR BAHRU, JOHOR.",81100.0
11,"U MOBILE SERVICE CENTRE, IPOH PARADE MALL","S36, 2ND FLOOR, IPOH PARADE MALL, 105, JALAN SULTAN ABDUL JALIL, 30450 IPOH, PERAK.",30450.0
12,AMG WORLD SDN BHD,"LOT L1-33A, LEVEL 1 SETIA CITY MALL, NO 7, PERSIARAN SETIA DAGANG, BANDAR SETIA ALAM, SEKSYEN U13, 40170 SHAH ALAM, SELANGOR",40170.0
13,AMG WORLD SDN BHD (S2),"LOT S25, SECOND FLOOR, NO 1, PERSIARAN BATU NILAM, 41200 KLANG, SELANGOR",41200.0
14,AUDIO GROUP COMMUNICATION SDN. BHD.,"SPECTRUM SHOPPING MALL, G-01-B, GROUND FLOOR 68000 AMPANG SELANGOR",68000.0
15,CELLULAR WAN COMMUNICATION SDN BHD,"BAZAAR RAKYAT LOT 8&9, JALAN MEDAN NIAGA, MEDAN NIAGA KUALA SELANGOR 45000 KUALA SELANGOR SELANGOR",45000.0
16,CKD MOBILE SDN BHD,"GIANT HYPERMARKET SERI KEMBANGAN LOT F27, GIANT HYPERMARKET SERI KEMBANGAN, JALAN PUTRA PERMAI, BANDAR PUTRA PERMAI, 43300 SERI KEMBANGAN, SELANGOR",43300.0
17,CKD MOBILE SDN BHD (S2),"AEON TAMAN EQUINE SHOPPING CENTRE LOT LG-16, LOWER GROUND FLOOR, JALAN EQUINE, TAMAN EQUINE, BANDAR PUTRA PERMAI, 43300 SERI KEMBANGAN, SELANGOR",43300.0
18,FIRST ONE MOBILE SDN BHD,"P14,TESCO MUTIARA DAMANSARA, 47800 PETALING JAYA SELANGOR",47800.0
19,FIRST ONE MOBILE SDN BHD (S2),PAVILION KUALA LUMPUR LOT: TL1.100.00 LEVEL 1 55100 KUALA LUMPUR WILAYAH PERSEKUTUAN,55100.0
20,FIRST ONE MOBILE SDN BHD (S3),"LOT 3-43,SUNWAY VELOCITY MALL, 55100 KUALA LUMPUR WILAYAH PERSEKUTUAN",55100.0
