ShopName,ShopAddress
BERJAYA TIMES SQUARE EXPERIENCE CENTRE,"G17, GROUND FLOOR, EAST WING, BERJAYA TIMES SQUARE, NO. 1, JALAN IMBI, 55100 KUALA LUMPUR."
BERJAYA TIMES SQUARE EXPERIENCE CENTRE,"NO. 1-10, LEVEL 1, BERJAYA TIMES SQUARE, NO. 1, JALAN IMBI, 55100 KUALA LUMPUR."
"U MOBILE SERVICE CENTRE, AEON AU2 SHOPPING CENTRE","G11, AEON AU2 SHOPPING CENTRE, NO 6, JALAN TAMAN SETIA WANGSA, AU2, BANDAR BARU AMPANG, MUKIM ULU KELANG, 54200 KUALA LUMPUR"
"U MOBILE SERVICE CENTRE, BUKIT TINGGI, KLANG","B-G-10, GROUND FLOOR, BBT ONE, LEBUH BATU NILAM 2, BANDAR BUKIT TINGGI,41200 KLANG, SELANGOR."
"U MOBILE SERVICE CENTRE, SUNWAY PYRAMID","LOT F1.26, 1ST FLOOR, SUNWAY PYRAMID, NO. 3, JALAN PJS 11/15, BANDAR SUNWAY, 46150 PETALING JAYA, SELANGOR."
"U MOBILE SERVICE CENTRE, 1 UTAMA SHOPPING CENTRE","LG313C, 1UTAMA SHOPPING CENTRE (NEW WING), 1, PERSIARAN BANDAR UTAMA, BANDAR UTAMA, 47100 PETALING JAYA, SELANGOR."
"U MOBILE SERVICE CENTRE, QUEENSBAY MALL","2F- 33A & 35 (2ND FLOOR), QUEENSBAY MALL, 100, PERSIARAN BAYAN INDAH, BAYAN LEPAS, 11900, PULAU PINANG."
"U MOBILE SERVICE CENTRE, SEBERANG JAYA","NO. 50, GROUND FLOOR, JALAN TODAK 2, 13700 SEBERANG JAYA, PULAU PINANG."
"U MOBILE SERVICE CENTRE, MELAKA","NO. 3, GROUND FLOOR, JALAN MERDEKA, TAMAN MELAKA RAYA, 75250 MELAKA."
"U MOBILE SERVICE CENTRE, SEREMBAN","GROUND FLOOR, NO. 135-1, JALAN TUN DR. ISMAIL, 70200 SEREMBAN, NEGERI SEMBILAN"
"U MOBILE SERVICE CENTRE, TAMAN MOLEK, JOHOR BAHRU","GROUND FLOOR, NO. 73, JALAN MOLEK 1/29, TAMAN MOLEK, 81100 JOHOR BAHRU, JOHOR."
"U MOBILE SERVICE CENTRE, IPOH PARADE MALL","S36, 2ND FLOOR, IPOH PARADE MALL, 105, JALAN SULTAN ABDUL JALIL, 30450 IPOH, PERAK."
AMG WORLD SDN BHD,"LOT L1-33A, LEVEL 1 SETIA CITY MALL, NO 7, PERSIARAN SETIA DAGANG, BANDAR SETIA ALAM, SEKSYEN U13, 40170 SHAH ALAM, SELANGOR"
AMG WORLD SDN BHD (S2),"LOT S25, SECOND FLOOR, NO 1, PERSIARAN BATU NILAM, 41200 KLANG, SELANGOR"
AUDIO GROUP COMMUNICATION SDN. BHD.,"SPECTRUM SHOPPING MALL, G-01-B, GROUND FLOOR 68000 AMPANG SELANGOR"
CELLULAR WAN COMMUNICATION SDN BHD,"BAZAAR RAKYAT LOT 8&9, JALAN MEDAN NIAGA, MEDAN NIAGA KUALA SELANGOR 45000 KUALA SELANGOR SELANGOR"
CKD MOBILE SDN BHD,"GIANT HYPERMARKET SERI KEMBANGAN LOT F27, GIANT HYPERMARKET SERI KEMBANGAN, JALAN PUTRA PERMAI, BANDAR PUTRA PERMAI, 43300 SERI KEMBANGAN, SELANGOR"
CKD MOBILE SDN BHD (S2),"AEON TAMAN EQUINE SHOPPING CENTRE LOT LG-16, LOWER GROUND FLOOR, JALAN EQUINE, TAMAN EQUINE, BANDAR PUTRA PERMAI, 43300 SERI KEMBANGAN, SELANGOR"
FIRST ONE MOBILE SDN BHD,"P14,TESCO MUTIARA DAMANSARA, 47800 PETALING JAYA SELANGOR"
FIRST ONE MOBILE SDN BHD (S2),PAVILION KUALA LUMPUR LOT: TL1.100.00 LEVEL 1 55100 KUALA LUMPUR WILAYAH PERSEKUTUAN
FIRST ONE MOBILE SDN BHD (S3),"LOT 3-43,SUNWAY VELOCITY MALL, 55100 KUALA LUMPUR WILAYAH PERSEKUTUAN"
FIRST ONE MOBILE SDN BHD (S4),"LOT L2-74, LEVEL 2 ARRIVALS, GATEWAY@KLIA2, TERMINAL KLIA2, 64000, KLIA ,SELANGOR"
I LINK MOBILE SDN BHD,"LOT S38 2ND FLOOR,KL FESTIVAL CITY, 67 JALAN TAMAN IBU KOTA 53300 KUALA LUMPUR"
I LINK MOBILE SDN BHD (S2),"LOT NO T2C-01A& 01B, LEVEL 4, SKY AVENUE GENTING HIGHLANDS 69000 PAHANG"
INFINITY ONE MARKETING SDN BHD,"NO 39 JALAN MANIS 3, TAMAN SEGAR, 56100 KUALA LUMPUR."
INFINITY ONE MARKETING SDN BHD (S2),"GROUND FLOOR, 65 JALAN USJ 10/1A, 47620 SUBANG JAYA, SELANGOR"
LZX TELECOMMUNICATION SDN. BHD.,"LOT NO 1F-39, 1ST FLOOR, PARADIGM MALL, 47301 PETALING JAYA, SELANGOR"
MCOM DISTRIBUTION SDN. BHD.,"NO. 19-G JLN MERANTI 1A SEKSYEN 3 BANDAR UTAMA, 44300 BATANG KALI, SELANGOR"
META SUCCESS SDN BHD,"10K, 10J, JALAN SS6/12, KELANA JAYA, 47301 PETALING JAYA, SELANGOR"
META SUCCESS SDN BHD (S2),"NSK KOTA DAMANSARA, LOT F19, NO1, JALAN KENYALANG 11/1, SEKSYEN 11, KOTA DAMANSARA, PJU 5, 47810 PETALING JAYA, SELANGOR"
SNE NETWORK SDN BHD,"NO.12G, JALAN SG 1/2, TAMAN SERI GOMBAK, 68100 BATU CAVES, SELANGOR."
U TOP UP SDN BHD,"NO. 21-E,JALAN MAHSURI, 45300 SUNGAI BESAR, SELANGOR"
U ZON SDN BHD,"56, JALAN BRP 1/2, BUKIT RAHMAN PUTRA, 47000 SG BULOH, SELANGOR"
U ZON SDN BHD (S2),"GF-17, JALAN METRO PERDANA BARAT 1, TAMAN USAHAWAN KEPONG UTARA, KL."
YEWNIC FIRST MARKETING SDN BHD,"LOT 1-05A, WANGSA WALK MALL, WANGSA AVENUE 9, JALAN WANGSA PERDANA 1, 53300 KUALA LUMPUR."
